"item_name","wb_item_code","imf_item_code","import_name_wb","import_name_wb_index"
"Overall","iTotal","PALLFNF",NA,"Total Index"
"Energy","iENERGY","PNRG",NA,"Energy"
"Non-Energy","iNONFUEL","PNFUEL",NA,"Non-energy **"
"Coal","INFERRED_COAL","PCOAL",NA,NA
"Crude Oil","CRUDE_PETRO","POILAPSP","Crude oil, average",NA
"Natural Gas","iNATGAS","PNGAS","Natural gas index",NA
"Propane",NA,"PPROPANE",NA,NA
"Coal, Australia","COAL_AUS","PCOALAU","Coal, Australian",NA
"Coal, South Africa","COAL_SAFRICA","PCOALSA","Coal, South African **",NA
"Crude Oil, Brent","CRUDE_BRENT","POILBRE","Crude oil, Brent",NA
"Crude Oil, Dubai Fateh","CRUDE_DUBAI","POILDUB","Crude oil, Dubai",NA
"Crude Oil, WTI","CRUDE_WTI","POILWTI","Crude oil, WTI",NA
"Natural Gas, EU","NGAS_US","PNGASEU","Natural gas, Europe",NA
"Natural Gas, Japan","NGAS_EUR","PNGASJP","Liquefied natural gas, Japan",NA
"Natural Gas, US","NGAS_JP","PNGASUS","Natural gas, US",NA
"Agriculture","iAGRICULTURE","PAGRI",NA,"Agriculture **"
"Fertilizers","iFERTILIZERS","PFERT",NA,"Fertilizers **"
"Food","iFOOD","PFOOD",NA,"Food **"
"Beverages","iBEVERAGES","PBEVE",NA,"Beverages"
"Agricultural Raw Materials","iRAW_MATERIAL","PRAWM",NA,"Raw Materials"
"Cereals","iGRAINS","PCERE",NA,"Grains"
"Oils and Meals","iFATS_OILS","PVOIL",NA,"Oils & Meals"
"Other Food","iOTHERFOOD","INFERRED_OTHERFOOD",NA,"Other Food **"
"Meat",NA,"PMEAT",NA,NA
"Seafood",NA,"PSEAF",NA,NA
"Rice","INFERRED_RICE","PRICENPQ",NA,NA
"Wheat","INFERRED_WHEAT","PWHEAMT",NA,NA
"Maize","INFERRED_MAIZE","PMAIZMT",NA,NA
"Barley","BARLEY","PBARL","Barley",NA
"Rice (Thailand), 5% broken, white rice","RICE_05",NA,"Rice, Thai 5%",NA
"Rice (Thailand), 25% broken, white rice","RICE_25",NA,"Rice, Thai 25%",NA
"Rice (Thailand), 100% broken, A.1 Super","RICE_A1",NA,"Rice, Thai A.1",NA
"Rice (Vietnam), 5% broken, white rice","RICE_05_VNM",NA,"Rice, Viet Namese 5%",NA
"Wheat (U.S.), no. 2, soft red winter","WHEAT_US_SRW",NA,"Wheat, US SRW",NA
"Wheat (U.S.), no. 2 hard red winter","WHEAT_US_HRW",NA,"Wheat, US HRW",NA
"Maize (U.S.), no. 2, yellow","MAIZE",NA,"Maize",NA
"Sorghum","SORGHUM","PSORG","Sorghum",NA
"Oats",NA,"POATS",NA,NA
"Soybeans","SOYBEANS","PSOYB","Soybeans",NA
"Soybean Oil","SOYBEAN_OIL","PSOIL","Soybean oil",NA
"Soybean Meal","SOYBEAN_MEAL","PSMEA","Soybean meal",NA
"Palm Oil","PALM_OIL","PPOIL","Palm oil",NA
"Coconut Oil","COCONUT_OIL","PCOIL","Coconut oil",NA
"Groundnts (Full)","INFERRED_GNUTS",NA,NA,NA
"Groundnut Oil","GRNUT_OIL",NA,"Groundnut oil **",NA
"Groundnuts","GRNUT","PGNUTS","Groundnuts",NA
"Olive Oil",NA,"POLVOIL",NA,NA
"Rapeseed Oil","RAPESEED_OIL","PROIL","Rapeseed oil",NA
"Sunflower Seed Oil","SUNFLOWER_OIL","PSUNO","Sunflower oil",NA
"Palm Kernal Oil","PLMKRNL_OIL",NA,"Palm kernel oil",NA
"Milk",NA,"PMILK",NA,NA
"Fishmeal","FISH_MEAL","PFSHMEAL","Fish meal",NA
"Legumes (Chickpeas)",NA,"PCHANA",NA,NA
"Non-Citrus Fruit (Apple)",NA,"PAPPLE",NA,NA
"Vegetables (Tomato)",NA,"PTOMATO",NA,NA
"Sugar","INFERRED_SUGAR","PSUGA",NA,NA
"Bananas","INFERRED_BANANAS","PBANSOP",NA,NA
"Bananas, EU","BANANA_EU",NA,"Banana, Europe",NA
"Bananas, US","BANANA_US",NA,"Banana, US",NA
"Oranges","ORANGE","PORANG","Orange",NA
"Beef","BEEF","PBEEF","Beef **",NA
"Chicken/Poultry","CHICKEN","PPOULT","Chicken **",NA
"Lamb","LAMB","PLAMB","Lamb **",NA
"Swine (Pork)",NA,"PPORK",NA,NA
"Shrimp","SHRIMP_MEX","PSHRI","Shrimps, Mexican",NA
"Fish",NA,"PSALM",NA,NA
