"commodity_code","commodity_name","definition","methodological_notes","source"
"ALUMINUM","Aluminum, commodity price ($/mt, nominal $US)","Aluminum (LME) London Metal Exchange, unalloyed primary ingots, high grade, minimum 99.7 percent purity, settlement price beginning 2005; previously cash price.","Original Source: Bloomberg; Engineering and Mining Journal; Platts Metals Week; Thomson Reuters Datastream; World Bank.","WB"
"BANANA_EU","Banana, Europe, commodity price ($/kg, nominal $US)","Bananas (Central & South America), major brands, free on truck (f.o.t.) Southern Europe, including duties; prior to October 2006, f.o.t. Hamburg.","Original Source: Food and Agricultural Organization; Nova Media Publishing, Inc.; Union of Banana-Exporting Countries (UPEB); US Bureau of Labor Statistics; World Bank.","WB"
"BANANA_US","Banana, US, commodity price ($/kg, nominal $US)","Bananas (Central & South America), major brands, US import price, free on truck (f.o.t.) US Gulf ports.","Original Source: Food and Agricultural Organization; Nova Media Publishing, Inc.; Union of Banana-Exporting Countries (UPEB); US Bureau of Labor Statistics; World Bank.","WB"
"BARLEY","Barley, commodity price ($/mt, nominal $US)","Barley (US) feed, No. 2, spot, 20 days To-Arrive, delivered Minneapolis from May 2012 onwards; during 1980 - 2012 April Canadian, feed, Western No. 1, Winnipeg Commodity Exchange, spot, wholesale farmers' price.","Original Source: Bloomberg; US Department of Agriculture; World Bank.","WB"
"BEEF","Beef, commodity price ($/kg, nominal $US)","Beef (New Zealand), 90 percentt chemical lean, c.i.f. U.S. imported, from January 2024; September 2021 - December 2023, (Australia) cow forequarters, 85% chemical lean, c.i.f. U.S. imported; 1995-August 2021, Australia/New Zealand, mixed trimmings 85 percent, East Coast, 7-45 day deferred delivery, free on board (f.o.b.) port of entry, beginning January 1995; previously cow forequarters.","Original Source: Meat & Livestock Australia, Meat and Livestock Weekly; The National Provisioner; Urner Barry; US Department of Agriculture; World Bank.","WB"
"CHICKEN","Chicken, commodity price ($/kg, nominal $US)","Chicken (Brazil), São Paulo State consolidated average wholesale price of frozen chicken; 2013-August 2021, Urner Barry North East weighted average for broiler/fryer, whole birds, 2.5 to 3.5 pounds, US Department of Agriculture (USDA) grade 'A' from 2013 onwards; 1980-2012, Georgia Dock weighted average, 2.5 to 3 pounds, wholesale; previously World Bank estimates.","Original Source: Bloomberg; Urner Barry; US Department of Agriculture; World Bank.","WB"
"COAL_AUS","Coal, Australian, commodity price ($/mt, nominal $US)","Coal (Australia), from February 2022, port thermal, free on board (f.o.b.) Newcastle, 6000 kcal/kg futures price. From 2015 to January 2022, port thermal, f.o.b. Newcastle, 6000 kcal/kg spot price. 2002-2014, thermal GAR, f.o.b. piers, Newcastle/Port Kembla , 6,300 kcal/kg (11,340 btu/lb), less than 0.8 percent, sulfur 13 percent ash; previously 6,667 kcal/kg (12,000 btu/lb), less than 1.0 percent sulfur, 14 percent ash.","Original Source: Bloomberg; Coal Week International; Coal Week; IHS McCloskey Coal Report; International Coal Report World Bank.","WB"
"COAL_SAFRICA","Coal, South African, commodity price ($/mt, nominal $US)","Coal (South Africa), from January 2015, free on board (f.o.b.) Richards Bay, net as received (NAR), 6,000 kcal/kg, sulfur less than 1 percent, forward month 1; from February 13, 2017 to December 2017, thermal NAR netback assessment f.o.b. Richards Bay 6,000 kcal/kg; during 2006-February 10, 2017 thermal NAR; during 2002-2005 6,200 kcal/kg (11,200 btu/lb), less than 1.0 percent, sulfur 16 percent ash; years 1990-2001 6390 kcal/kg (11,500 btu/lb).","Original Source: Bloomberg; Coal Week; Coal Week International; International Coal Report; World Bank.","WB"
"COCOA","Cocoa, commodity price ($/kg, nominal $US)","Cocoa (ICCO), International Cocoa Organization daily price, average of the first three positions on the terminal markets of New York and London, nearest three future trading months.","Original Source: Bloomberg; International Cocoa Organization Secretariat; World Bank.","WB"
"COCONUT_OIL","Coconut oil, commodity price ($/mt, nominal $US)","Coconut oil (Philippines/Indonesia), from January 2021, crude, cost, insurance, and freight (c.i.f.) Rotterdam; January 1999 to December 2020, crude, c.i.f. NW Europe; previously, bulk, c.i.f. Rotterdam.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.","WB"
"COFFEE_ARABIC","Coffee, arabica, commodity price ($/kg, nominal $US)","Coffee (ICO), International Coffee Organization indicator price, other mild Arabicas, average New York and Bremen/Hamburg markets, ex-dock.","Original Source: Bloomberg; Complete Coffee Coverage; International Coffee Organization; Thomson Reuters Datastream; World Bank.","WB"
"COFFEE_ROBUS","Coffee, robusta, commodity price ($/kg, nominal $US)","Coffee (ICO), International Coffee Organization indicator price, Robustas, average New York and Le Havre/Marseilles markets, ex-dock.","Original Source: Bloomberg; Complete Coffee Coverage; International Coffee Organization; Thomson Reuters Datastream; World Bank.","WB"
"COPPER","Copper, commodity price ($/mt, nominal $US)","Copper (LME), grade A, minimum 99.9935 percent purity, cathodes and wire bar shapes, settlement price.","Original Source: Bloomberg; Engineering and Mining Journal; Platts Metals Week; Thomson Reuters Datastream; World Bank.","WB"
"COTTON_A_INDX","Cotton, A Index, commodity price ($/kg, nominal $US)","Cotton (Cotton Outlook 'CotlookA index'), middling 1-3/32 inch, traded in Far East, C/F beginning 2006; previously Northern Europe, cost, insurance, and freight (c.i.f.).","Original Source: Bloomberg; Cotton Outlook; International Cotton Advisory Committee; Liverpool Cotton Services Ltd.; World Bank.","WB"
"CRUDE_BRENT","Crude oil, Brent, commodity price ($/bbl, nominal $US)","Crude oil, UK Brent 38` API.","Original Source: Bloomberg; Energy Intelligence Group (EIG); Organization of Petroleum Exporting Countries (OPEC); World Bank.","WB"
"CRUDE_DUBAI","Crude oil, Dubai, commodity price ($/bbl, nominal $US)","Crude oil, Dubai Fateh 32` API for years 1985-present; 1960-84 refer to Saudi Arabian Light, 34` API.","Original Source: Bloomberg; Energy Intelligence Group (EIG); Organization of Petroleum Exporting Countries (OPEC); World Bank.","WB"
"CRUDE_PETRO","Crude oil, average, commodity price ($/bbl, nominal $US)","Crude oil, average spot price of Brent, Dubai and West Texas Intermediate, equally weighed.","Original Source: World Bank.","WB"
