"db_code","metadata_type","attr_code","metadata_attribute","metadata_value"
"PCPS","COMMODITY","PRAWM","COMMODITY_NAME","Agr. Raw Material Index "
"PCPS","COMMODITY","PRAWM","COMMODITY_CODE","PRAWM"
"PCPS","COMMODITY","PRAWM","COMMODITY_SHORT_NAME","Agr. Raw Material Index "
"PCPS","COMMODITY","PRAWM","COMMODITY_FULL_NAME","Primary Commodity Prices, Agr. Raw Material Index "
"PCPS","COMMODITY","PRAWM","COMMODITY_DEFINITION","Agricultural Raw Materials Index, 2016 = 100, includes Timber, Cotton, Wool, Rubber, and Hides Price Indices"
"PCPS","COMMODITY","PRAWM","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PRAWM","COMMODITY_SOURCE_CODE","PRAWM"
"PCPS","COMMODITY","PRAWM","COMMODITY_SDMX_NAME","Primary Commodity Prices, Agr. Raw Material Index "
"PCPS","COMMODITY","PRAWM","COMMODITY_SDMX_CODE","PRAWM"
"PCPS","COMMODITY","PAGRI","COMMODITY_NAME","Agriculture"
"PCPS","COMMODITY","PAGRI","COMMODITY_CODE","PAGRI"
"PCPS","COMMODITY","PAGRI","COMMODITY_SHORT_NAME","Agriculture"
"PCPS","COMMODITY","PAGRI","COMMODITY_FULL_NAME","Primary Commodity Prices, Agriculture"
"PCPS","COMMODITY","PAGRI","COMMODITY_DEFINITION","Agriculture Price Index, 2016 = 100, includes Food and Beverages and Agriculture Raw Materials Price Indices"
"PCPS","COMMODITY","PAGRI","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PAGRI","COMMODITY_SOURCE_CODE","PAGRI"
"PCPS","COMMODITY","PAGRI","COMMODITY_SDMX_NAME","Primary Commodity Prices, Agriculture"
"PCPS","COMMODITY","PAGRI","COMMODITY_SDMX_CODE","PAGRI"
"PCPS","COMMODITY","PALLFNF","COMMODITY_NAME","All index "
"PCPS","COMMODITY","PALLFNF","COMMODITY_CODE","PALLFNF"
"PCPS","COMMODITY","PALLFNF","COMMODITY_SHORT_NAME","All index "
"PCPS","COMMODITY","PALLFNF","COMMODITY_FULL_NAME","Primary Commodity Prices, All index "
"PCPS","COMMODITY","PALLFNF","COMMODITY_DEFINITION","All Commodity Price Index, 2016 = 100, includes both Fuel and Non-Fuel Price Indices"
"PCPS","COMMODITY","PALLFNF","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PALLFNF","COMMODITY_SOURCE_CODE","PALLFNF"
"PCPS","COMMODITY","PALLFNF","COMMODITY_SDMX_NAME","Primary Commodity Prices, All index "
"PCPS","COMMODITY","PALLFNF","COMMODITY_SDMX_CODE","PALLFNF"
"PCPS","COMMODITY","PEXGMETA","COMMODITY_NAME","All Metals EX GOLD Index"
"PCPS","COMMODITY","PEXGMETA","COMMODITY_CODE","PEXGMETA"
"PCPS","COMMODITY","PEXGMETA","COMMODITY_SHORT_NAME","All Metals EX GOLD Index"
"PCPS","COMMODITY","PEXGMETA","COMMODITY_FULL_NAME","Primary Commodity Prices, All Metals EX GOLD Index"
"PCPS","COMMODITY","PEXGMETA","COMMODITY_DEFINITION","All Metals EX GOLD Index, 2016 = 100: includes Metal Price Index (Base Metals) and ONLY Silver, Palladium, Platinum "
"PCPS","COMMODITY","PEXGMETA","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PEXGMETA","COMMODITY_SOURCE_CODE","PEXGMETA"
"PCPS","COMMODITY","PEXGMETA","COMMODITY_SDMX_NAME","Primary Commodity Prices, All Metals EX GOLD Index"
"PCPS","COMMODITY","PEXGMETA","COMMODITY_SDMX_CODE","PEXGMETA"
"PCPS","COMMODITY","PALLMETA","COMMODITY_NAME","All Metals Index"
"PCPS","COMMODITY","PALLMETA","COMMODITY_CODE","PALLMETA"
"PCPS","COMMODITY","PALLMETA","COMMODITY_SHORT_NAME","All Metals Index"
"PCPS","COMMODITY","PALLMETA","COMMODITY_FULL_NAME","Primary Commodity Prices, All Metals Index"
"PCPS","COMMODITY","PALLMETA","COMMODITY_DEFINITION","All Metals Index, 2016 = 100: includes Metal Price Index (Base Metals) and Precious Metals Index"
"PCPS","COMMODITY","PALLMETA","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PALLMETA","COMMODITY_SOURCE_CODE","PALLMETA"
"PCPS","COMMODITY","PALLMETA","COMMODITY_SDMX_NAME","Primary Commodity Prices, All Metals Index"
"PCPS","COMMODITY","PALLMETA","COMMODITY_SDMX_CODE","PALLMETA"
"PCPS","COMMODITY","PALUM","COMMODITY_NAME","Aluminum"
"PCPS","COMMODITY","PALUM","COMMODITY_CODE","PALUM"
"PCPS","COMMODITY","PALUM","COMMODITY_SHORT_NAME","Aluminum"
"PCPS","COMMODITY","PALUM","COMMODITY_FULL_NAME","Primary Commodity Prices, Aluminum"
"PCPS","COMMODITY","PALUM","COMMODITY_DEFINITION","Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric ton"
"PCPS","COMMODITY","PALUM","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PALUM","COMMODITY_SOURCE_CODE","PALUM"
"PCPS","COMMODITY","PALUM","COMMODITY_SDMX_NAME","Primary Commodity Prices, Aluminum"
"PCPS","COMMODITY","PALUM","COMMODITY_SDMX_CODE","PALUM"
"PCPS","COMMODITY","POILAPSP","COMMODITY_NAME","APSP crude oil($/bbl)"
"PCPS","COMMODITY","POILAPSP","COMMODITY_CODE","POILAPSP"
"PCPS","COMMODITY","POILAPSP","COMMODITY_SHORT_NAME","Crude Oil"
"PCPS","COMMODITY","POILAPSP","COMMODITY_FULL_NAME","Primary Commodity Prices, APSP crude oil($/bbl)"
"PCPS","COMMODITY","POILAPSP","COMMODITY_DEFINITION","Crude Oil (petroleum), Price index, 2016 = 100, simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh"
"PCPS","COMMODITY","POILAPSP","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","POILAPSP","COMMODITY_SOURCE_CODE","POILAPSP"
"PCPS","COMMODITY","POILAPSP","COMMODITY_SDMX_NAME","Primary Commodity Prices, APSP crude oil($/bbl)"
"PCPS","COMMODITY","POILAPSP","COMMODITY_SDMX_CODE","POILAPSP"
"PCPS","COMMODITY","PBANSOP","COMMODITY_NAME","Bananas "
"PCPS","COMMODITY","PBANSOP","COMMODITY_CODE","PBANSOP"
"PCPS","COMMODITY","PBANSOP","COMMODITY_SHORT_NAME","Bananas "
"PCPS","COMMODITY","PBANSOP","COMMODITY_FULL_NAME","Primary Commodity Prices, Bananas "
"PCPS","COMMODITY","PBANSOP","COMMODITY_DEFINITION","Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric ton"
"PCPS","COMMODITY","PBANSOP","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PBANSOP","COMMODITY_SOURCE_CODE","PBANSOP"
"PCPS","COMMODITY","PBANSOP","COMMODITY_SDMX_NAME","Primary Commodity Prices, Bananas "
"PCPS","COMMODITY","PBANSOP","COMMODITY_SDMX_CODE","PBANSOP"
